Sus,inf,dead,rem,empty
949163, 1008, 0, 0, 49829
946838, 3120, 213, 0, 49829
940545, 8289, 1212, 125, 49829
932091, 14380, 2994, 706, 49829
918274, 23328, 6141, 2428, 49829
904165, 31397, 9471, 5138, 49829
881757, 43021, 14678, 10715, 49829
860289, 52529, 19754, 17599, 49829
835351, 62467, 25396, 26957, 49829
807603, 72037, 31343, 39188, 49829
772357, 82744, 37972, 57098, 49829
744202, 90407, 42845, 72717, 49829
705413, 99207, 48947, 96604, 49829
672443, 105982, 53507, 118239, 49829
632902, 111972, 58755, 146542, 49829
592424, 117411, 62793, 177543, 49829
559402, 119649, 65828, 205292, 49829
528554, 121399, 68209, 232009, 49829
479367, 121670, 71086, 278048, 49829
444430, 120763, 71732, 313246, 49829
414786, 119135, 72071, 344179, 49829
381766, 115674, 71675, 381056, 49829
350943, 111574, 70412, 417242, 49829
322288, 107067, 68699, 452117, 49829
296758, 102257, 66603, 484553, 49829
265698, 94552, 63343, 526578, 49829
244310, 89261, 60210, 556390, 49829
224083, 82119, 56736, 587233, 49829
210032, 77653, 53745, 608741, 49829
189992, 70213, 49280, 640686, 49829
179076, 66225, 46638, 658232, 49829
163423, 58594, 41876, 686278, 49829
149893, 52318, 38273, 709687, 49829
141250, 47598, 35570, 725753, 49829
131222, 42536, 31872, 744541, 49829
122307, 37363, 27995, 762506, 49829
116566, 33797, 25715, 774093, 49829
110658, 29389, 23058, 787066, 49829
106404, 26167, 20805, 796795, 49829
101799, 22608, 18278, 807486, 49829
97746, 18942, 15436, 818047, 49829
95217, 16273, 13686, 824995, 49829
92453, 13261, 11381, 833076, 49829
91331, 11538, 10148, 837154, 49829
89837, 10002, 8840, 841492, 49829
88088, 7997, 7092, 846994, 49829
87458, 6885, 6071, 849757, 49829
86554, 5700, 5106, 852811, 49829
85644, 4583, 4035, 855909, 49829
85113, 3949, 3546, 857563, 49829
84726, 3387, 3093, 858965, 49829
84186, 2595, 2479, 860911, 49829
83790, 2129, 1997, 862255, 49829
83628, 1852, 1726, 862965, 49829
83326, 1577, 1423, 863845, 49829
83130, 1258, 1160, 864623, 49829
82977, 977, 960, 865257, 49829
82855, 814, 829, 865673, 49829
82722, 651, 617, 866181, 49829
82652, 588, 552, 866379, 49829
82607, 423, 427, 866714, 49829
82537, 381, 366, 866887, 49829
82498, 306, 264, 867103, 49829
82455, 270, 233, 867213, 49829
82409, 229, 188, 867345, 49829
82362, 216, 165, 867428, 49829
82324, 189, 127, 867531, 49829
82305, 158, 110, 867598, 49829
82281, 120, 105, 867665, 49829
82265, 111, 76, 867719, 49829
82263, 111, 75, 867722, 49829
82227, 84, 72, 867788, 49829
82212, 67, 73, 867819, 49829
82195, 60, 55, 867861, 49829
82192, 47, 42, 867890, 49829
82186, 38, 38, 867909, 49829
