Sus, inf, dead, rem, empty, Rec
949580, 996, 0, 0, 49424, 0
947881, 2351, 135, 0, 49424, 209
940348, 7255, 1158, 126, 49424, 1689
935059, 9728, 2041, 421, 49424, 3327
918321, 16365, 4781, 1977, 49424, 9132
905223, 20215, 6888, 3855, 49424, 14395
883249, 26170, 9893, 7684, 49424, 23580
866269, 29822, 11996, 11315, 49424, 31174
829544, 36807, 16009, 20067, 49424, 48149
802643, 41555, 18877, 26843, 49424, 60658
782283, 44473, 20686, 32481, 49424, 70653
737242, 49457, 24291, 46019, 49424, 93567
704518, 53080, 26493, 56170, 49424, 110315
670484, 54886, 28908, 67654, 49424, 128644
619362, 57143, 31190, 86238, 49424, 156643
582143, 58015, 32730, 100386, 49424, 177302
544989, 57853, 33673, 115555, 49424, 198506
500220, 57632, 34367, 134254, 49424, 224103
468614, 56679, 34378, 148095, 49424, 242810
417315, 54950, 33987, 171193, 49424, 273131
380056, 52658, 33112, 188883, 49424, 295867
359817, 51204, 32741, 198629, 49424, 308185
317108, 47591, 31277, 219828, 49424, 334772
286787, 44969, 29925, 235290, 49424, 353605
259328, 41912, 28336, 249935, 49424, 371065
230318, 39012, 26588, 265327, 49424, 389331
209588, 35729, 25111, 277036, 49424, 403112
191227, 32695, 23451, 287818, 49424, 415385
169687, 29441, 21392, 300419, 49424, 429637
148850, 25667, 19022, 313248, 49424, 443789
133228, 23047, 17334, 322896, 49424, 454071
120664, 20706, 15820, 330838, 49424, 462548
109525, 18276, 14139, 338329, 49424, 470307
100382, 15936, 12640, 344750, 49424, 476868
91573, 13624, 11232, 350967, 49424, 483180
82436, 11405, 9352, 357739, 49424, 489644
78094, 10151, 8478, 360980, 49424, 492873
71140, 8520, 7164, 366002, 49424, 497750
65745, 7130, 5884, 370148, 49424, 501669
61636, 5920, 5064, 373253, 49424, 504703
59227, 5003, 4367, 375362, 49424, 506617
57315, 4575, 3912, 376821, 49424, 507953
54603, 3733, 3282, 378987, 49424, 509971
52693, 2824, 2727, 380773, 49424, 511559
51274, 2354, 2258, 382028, 49424, 512662
49821, 1825, 1792, 383352, 49424, 513786
48976, 1447, 1423, 384221, 49424, 514509
48195, 1225, 1140, 384935, 49424, 515081
47463, 1103, 920, 385551, 49424, 515539
46803, 868, 759, 386094, 49424, 516052
46316, 808, 627, 386450, 49424, 516375
45918, 628, 523, 386804, 49424, 516703
45658, 567, 454, 387012, 49424, 516885
45398, 511, 422, 387189, 49424, 517056
45147, 392, 369, 387401, 49424, 517267
44823, 308, 283, 387674, 49424, 517488
44746, 268, 223, 387784, 49424, 517555
44603, 233, 186, 387889, 49424, 517665
44495, 196, 180, 387973, 49424, 517732
44398, 159, 147, 388063, 49424, 517809
44329, 115, 112, 388136, 49424, 517884
44263, 102, 96, 388184, 49424, 517931
44221, 73, 76, 388240, 49424, 517966
44196, 23, 41, 388306, 49424, 518010
44196, 16, 36, 388313, 49424, 518015
44191, 7, 17, 388336, 49424, 518025
44190, 1, 9, 388345, 49424, 518031
44190, 1, 5, 388349, 49424, 518031
44190, 0, 1, 388353, 49424, 518032
44190, 0, 1, 388353, 49424, 518032
44190, 0, 1, 388353, 49424, 518032
44190, 0, 1, 388353, 49424, 518032
44190, 0, 1, 388353, 49424, 518032
44190, 0, 0, 388354, 49424, 518032
44190, 0, 0, 388354, 49424, 518032
44190, 0, 0, 388354, 49424, 518032
